GraphID,Algorithm,Vertices,Edges,TotalCost,Operations,ExecutionTimeMs
1,Prim,8,19,136,49,1.04
1,Kruskal,8,19,136,103,1.94
2,Prim,12,35,314,86,0.27
2,Kruskal,12,35,314,225,0.24
3,Prim,18,59,346,136,0.29
3,Kruskal,18,59,346,422,0.24
4,Prim,24,158,246,267,0.61
4,Kruskal,24,158,246,1129,0.73
5,Prim,29,160,341,297,0.70
5,Kruskal,29,160,341,1201,0.66
6,Prim,35,198,357,348,0.70
6,Kruskal,35,198,357,1429,0.70
7,Prim,68,839,367,1232,2.19
7,Kruskal,68,839,367,6660,3.01
8,Prim,102,1429,504,1979,3.12
8,Kruskal,102,1429,504,12486,4.05
9,Prim,145,2772,530,3576,4.17
9,Kruskal,145,2772,530,23671,5.76
10,Prim,178,7483,345,8475,9.29
10,Kruskal,178,7483,345,69367,5.99
11,Prim,210,8997,397,10099,11.41
11,Kruskal,210,8997,397,91927,6.05
12,Prim,245,12255,406,13625,14.00
12,Kruskal,245,12255,406,125344,8.71
13,Prim,267,13650,434,15028,7.29
13,Kruskal,267,13650,434,139054,7.15
14,Prim,285,15269,476,16774,9.38
14,Kruskal,285,15269,476,155517,7.03
15,Prim,299,14520,521,16359,9.90
15,Kruskal,299,14520,521,149131,10.24
16,Prim,320,9928,779,11722,7.52
16,Kruskal,320,9928,779,102788,5.57
17,Prim,450,26865,674,29619,18.05
17,Kruskal,450,26865,674,301546,16.04
18,Prim,520,14247,1434,17396,11.78
18,Kruskal,520,14247,1434,148834,13.25
19,Prim,610,33840,1019,38083,28.76
19,Kruskal,610,33840,1019,381709,15.58
20,Prim,680,61523,830,66181,43.92
20,Kruskal,680,61523,830,748114,19.73
21,Prim,750,29808,1500,35155,22.46
21,Kruskal,750,29808,1500,339439,28.80
22,Prim,820,65848,1072,71542,37.58
22,Kruskal,820,65848,1072,802714,23.48
23,Prim,890,96200,1036,102508,64.63
23,Kruskal,890,96200,1036,1167202,52.74
24,Prim,940,94029,1127,100084,49.70
24,Kruskal,940,94029,1127,1142416,35.77
25,Prim,999,67009,1393,73294,39.60
25,Kruskal,999,67009,1393,816244,21.72
26,Prim,1050,48872,1871,56745,26.61
26,Kruskal,1050,48872,1871,554138,26.68
27,Prim,1450,81776,2332,92849,39.05
27,Kruskal,1450,81776,2332,1005994,83.31
28,Prim,1850,187796,2178,202016,94.45
28,Kruskal,1850,187796,2178,2473629,159.67
